Brand,model,full_name,Km_driven,fuel,transmission,Price(?),Price_per_km,Price_per_year,emi_from_5yr_down_payment_20_percent,emi_perc_price,testdrive_loc,spiny_category,city,created_at,creation_year,creation_month,model_year,age_years,testdrive_area
Renault,Kwid Rxt,Renault Kwid Rxt,33000,petrol,manual,272000,8.24,30222,"4,951",1.09,"Spinny  Hub, Rohini, Delhi",Assured,Delhi-Ncr,09-06-2024,2024,6,2016,9,Rohini
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,71000,petrol,manual,532000,7.49,59111,"9,683",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2016,9,Rcube Monad Mall
Hyundai,Creta Ex,Hyundai Creta Ex,22000,petrol,manual,1069000,48.59,267250,"19,467",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Indirapuram Habitat Centre
Renault,Kwid 1,Renault Kwid 1,48000,petrol,manual,359000,7.48,59833,"6,534",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2019,6,Taj Vivanta
Tata,Tiago Revotron,Tata Tiago Revotron,16000,petrol,manual,428000,26.75,47556,"7,790",1.09,"Spinny  Hub, Rohini, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2016,9,Rohini
Renault,Kiger Rxt,Renault Kiger Rxt,33000,petrol,manual,629000,19.06,157250,"11,449",1.09,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2021,4,Faridabad
BMW,X1 Sdrive20D,BMW X1 Sdrive20D,80000,diesel,automatic,2090000,26.13,261250,"38,043",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2017,8,Gurgaon
Audi,A6 35,Audi A6 35,59000,petrol,automatic,2096000,35.53,209600,"38,145",1.09,"Spinny  Hub, Faridabad",Max,Delhi-Ncr,09-06-2024,2024,6,2015,10,Faridabad
Jeep,Compass Limited,Jeep Compass Limited,73000,diesel,manual,1111000,15.22,158714,"20,220",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2018,7,Gurgaon
Kia,Sonet Htx,Kia Sonet Htx,12000,petrol,manual,1063000,88.58,354333,"19,349",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Gaur City
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,76000,petrol,manual,568000,7.47,63111,"10,338",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2016,9,Rcube Monad Mall
Hyundai,Venue Sx,Hyundai Venue Sx,8000,petrol,manual,1060000,132.50,353333,"19,297",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Rcube Monad Mall
Hyundai,Venue S,Hyundai Venue S,13000,petrol,manual,868000,66.77,434000,"15,799",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2023,2,Gaur City
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,63000,petrol,manual,548000,8.70,60889,"9,974",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2016,9,Gaur City
Toyota,Camry Hybrid,Toyota Camry Hybrid,51000,petrol,automatic,1544000,30.27,154400,"28,106",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Assured,Delhi-Ncr,09-06-2024,2024,6,2015,10,Taj Vivanta
Maruti,Suzuki Ertiga,Maruti Suzuki Ertiga,91000,petrol,manual,678000,7.45,75333,"12,341",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2016,9,Taj Vivanta
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,43000,petrol,manual,556000,12.93,69500,"10,117",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Faridabad
Hyundai,Creta 1.6,Hyundai Creta 1.6,56000,petrol,manual,729000,13.02,91125,"13,269",1.09,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2017,8,Faridabad
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,34000,petrol,manual,598000,17.59,74750,"10,885",1.09,"Spinny  Hub, Rohini, Delhi",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Rohini
Hyundai,Eon D-Lite+,Hyundai Eon D-Lite+,23000,petrol,manual,243000,10.57,24300,"4,143",1.02,"Spinny  Hub, Rohini, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2015,10,Rohini
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,37000,petrol,manual,581000,15.70,72625,"10,575",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Rcube Monad Mall
Hyundai,Grand I10,Hyundai Grand I10,12000,petrol,manual,619000,51.58,154750,"11,267",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Trillium Avenue
Honda,Amaze 1.2,Honda Amaze 1.2,20000,petrol,automatic,829000,41.45,207250,"15,089",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Rcube Monad Mall
Kia,Sonet Htx,Kia Sonet Htx,39000,diesel,manual,1042000,26.72,260500,"18,971",1.09,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2021,4,Faridabad
Toyota,Etios Vx,Toyota Etios Vx,57000,petrol,manual,536000,9.40,67000,"9,147",1.02,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2017,8,Taj Vivanta
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,17000,petrol,manual,597000,35.12,85286,"10,866",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Budget,Delhi-Ncr,09-06-2024,2024,6,2018,7,Rcube Monad Mall
Ford,Figo Titanium,Ford Figo Titanium,94000,petrol,manual,454000,4.83,75667,"8,263",1.09,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2019,6,Faridabad
Jeep,Compass 80,Jeep Compass 80,26000,petrol,automatic,2161000,83.12,540250,"39,340",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2021,4,Gurgaon
Jeep,Compass Limited,Jeep Compass Limited,48000,petrol,automatic,1237000,25.77,154625,"22,518",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2017,8,Trillium Avenue
Tata,Punch Creative,Tata Punch Creative,19000,petrol,manual,749000,39.42,187250,"13,633",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Faridabad
Mahindra,Xuv700 Ax,Mahindra Xuv700 Ax,25000,petrol,automatic,2199000,87.96,733000,"40,027",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Trillium Avenue
Hyundai,Elite I20,Hyundai Elite I20,43000,petrol,manual,517000,12.02,51700,"9,410",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2015,10,Faridabad
Hyundai,New Santro,Hyundai New Santro,9000,petrol,manual,497000,55.22,165667,"8,485",1.02,"Spinny  Hub, GNB Mall Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,GNB Mall Ghaziabad
Renault,Kiger Rxz,Renault Kiger Rxz,30000,petrol,manual,791000,26.37,197750,"14,398",1.09,"Spinny  Hub, Rohini, Delhi",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Rohini
Maruti,Suzuki Dzire,Maruti Suzuki Dzire,19000,petrol,manual,619000,32.58,103167,"11,267",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2019,6,Gaur City
Honda,Brio Vx,Honda Brio Vx,36000,petrol,manual,399000,11.08,39900,"6,808",1.02,"Spinny  Hub, GNB Mall Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2015,10,GNB Mall Ghaziabad
Hyundai,Grand I10,Hyundai Grand I10,29000,petrol,manual,739000,25.48,369500,"13,451",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2023,2,Faridabad
Honda,Wr-V Vx,Honda Wr-V Vx,49000,petrol,manual,653000,13.33,81625,"11,886",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Faridabad
Maruti,Suzuki Ciaz,Maruti Suzuki Ciaz,18000,petrol,manual,939000,52.17,234750,"17,092",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Trillium Avenue
Kia,Sonet Gtx,Kia Sonet Gtx,24000,petrol,manual,1076000,44.83,269000,"19,577",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Gaur City
Honda,Amaze 1.2,Honda Amaze 1.2,24000,petrol,manual,710000,29.58,177500,"12,923",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Trillium Avenue
Mahindra,Xuv 300,Mahindra Xuv 300,51000,diesel,manual,942000,18.47,188400,"17,146",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Budget,Delhi-Ncr,09-06-2024,2024,6,2020,5,Trillium Avenue
Tata,Nexon Xm,Tata Nexon Xm,33000,petrol,manual,772000,23.39,257333,"14,052",1.09,"Spinny  Hub, Gaur City, Noida",Budget,Delhi-Ncr,09-06-2024,2024,6,2022,3,Gaur City
Kia,Seltos Htx,Kia Seltos Htx,95000,petrol,automatic,1191000,12.54,238200,"21,679",1.09,"Spinny  Hub, Gaur City, Noida",Budget,Delhi-Ncr,09-06-2024,2024,6,2020,5,Gaur City
Mahindra,Xuv 300,Mahindra Xuv 300,90000,petrol,manual,795000,8.83,159000,"14,470",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2020,5,Indirapuram Habitat Centre
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,109000,petrol,manual,429000,3.94,47667,"7,808",1.09,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2016,9,Faridabad
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,62000,petrol,manual,474000,7.65,52667,"8,623",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Budget,Delhi-Ncr,09-06-2024,2024,6,2016,9,Trillium Avenue
Hyundai,Creta 1.6,Hyundai Creta 1.6,97000,petrol,automatic,968000,9.98,138286,"17,619",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2018,7,Indirapuram Habitat Centre
BMW,X3 Xdrive,BMW X3 Xdrive,24000,diesel,automatic,3490000,145.42,498571,"63,526",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2018,7,Gurgaon
Maruti,Suzuki Dzire,Maruti Suzuki Dzire,43000,petrol,manual,533000,12.40,66625,"9,693",1.09,"Spinny  Hub, Rohini, Delhi",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Rohini
Hyundai,Grand I10,Hyundai Grand I10,90000,petrol,manual,350000,3.89,31818,"6,367",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2014,11,Faridabad
Hyundai,Creta 1.6,Hyundai Creta 1.6,59000,petrol,automatic,919000,15.58,114875,"16,728",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Rcube Monad Mall
MG,Motors Astor,MG Motors Astor,28000,petrol,automatic,1490000,53.21,496667,"27,114",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Trillium Avenue
Hyundai,Venue Sx,Hyundai Venue Sx,22000,petrol,automatic,1081000,49.14,270250,"19,676",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Rcube Monad Mall
Hyundai,Elite I20,Hyundai Elite I20,62000,petrol,manual,598000,9.65,99667,"10,885",1.09,"Spinny  Hub, GNB Mall Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2019,6,GNB Mall Ghaziabad
Hyundai,Elite I20,Hyundai Elite I20,46000,petrol,manual,489000,10.63,48900,"8,901",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2015,10,Gaur City
Maruti,Suzuki Ciaz,Maruti Suzuki Ciaz,20000,petrol,manual,921000,46.05,230250,"16,764",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Gaur City
Toyota,Glanza V,Toyota Glanza V,10000,petrol,manual,879000,87.90,439500,"15,999",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2023,2,Trillium Avenue
Toyota,Innova Crysta,Toyota Innova Crysta,67000,petrol,automatic,2065000,30.82,516250,"37,594",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Trillium Avenue
Hyundai,Alcazar Platinum,Hyundai Alcazar Platinum,31000,petrol,automatic,1591000,51.32,397750,"30,271",1.14,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Gaur City
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,52000,petrol,manual,568000,10.92,81143,"10,338",1.09,"Spinny  Hub, Universal Trade Tower, Sohna Road, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2018,7,Universal Trade Tower
Maruti,Suzuki Ertiga,Maruti Suzuki Ertiga,51000,petrol,manual,495000,9.71,38077,"13,342",1.62,"Spinny  Hub, Rcube Monad Mall, Rajouri",Budget,Delhi-Ncr,09-06-2024,2024,6,2012,13,Rcube Monad Mall
Maruti,Suzuki Wagon,Maruti Suzuki Wagon,59000,petrol+cng,manual,298000,5.05,24833,"6,395",1.29,"Spinny  Hub, Rohini, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2013,12,Rohini
Hyundai,I20 Magna,Hyundai I20 Magna,44000,petrol,manual,275000,6.25,21154,"7,412",1.62,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2012,13,Faridabad
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,29000,petrol,manual,497000,17.14,62125,"9,046",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2017,8,Taj Vivanta
Tata,Nexon Xz,Tata Nexon Xz,84000,diesel,manual,657000,7.82,109500,"11,959",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Budget,Delhi-Ncr,09-06-2024,2024,6,2019,6,Rcube Monad Mall
Tata,Nexon Xm,Tata Nexon Xm,34000,diesel,manual,836000,24.59,278667,"15,217",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Budget,Delhi-Ncr,09-06-2024,2024,6,2022,3,Trillium Avenue
Honda,City Vx,Honda City Vx,107000,petrol,manual,548000,5.12,49818,"9,974",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2014,11,Taj Vivanta
BMW,5 Series,BMW 5 Series,51000,diesel,automatic,4292000,84.16,858400,"78,131",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2020,5,Gurgaon
Renault,Triber Rxl,Renault Triber Rxl,18000,petrol,manual,554000,30.78,110800,"10,084",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2020,5,Gaur City
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,55000,petrol,manual,529000,9.62,75571,"9,629",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2018,7,Faridabad
Mahindra,Thar Lx,Mahindra Thar Lx,18000,petrol,manual,1298000,72.11,324500,"23,622",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Taj Vivanta
Volkswagen,Taigun Highline,Volkswagen Taigun Highline,31000,petrol,automatic,1341000,43.26,447000,"24,412",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Trillium Avenue
Hyundai,Venue Sx,Hyundai Venue Sx,32000,petrol,manual,872000,27.25,174400,"15,872",1.09,"Spinny  Hub, Universal Trade Tower, Sohna Road, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2020,5,Universal Trade Tower
Honda,Brio Vx,Honda Brio Vx,71000,petrol,automatic,385000,5.42,35000,"6,569",1.02,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2014,11,Faridabad
Hyundai,Elite I20,Hyundai Elite I20,58000,petrol,manual,563000,9.71,80429,"10,247",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2018,7,Indirapuram Habitat Centre
Kia,Sonet Gtx,Kia Sonet Gtx,16000,diesel,manual,1148000,71.75,287000,"20,901",1.09,"Spinny  Hub, Universal Trade Tower, Sohna Road, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Universal Trade Tower
Tata,Nexon Xz+,Tata Nexon Xz+,20000,petrol,manual,1150000,57.50,575000,"20,937",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2023,2,Gaur City
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,28000,petrol,manual,649000,23.18,162250,"11,813",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Faridabad
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,50000,petrol,manual,612000,12.24,102000,"11,139",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2019,6,Rcube Monad Mall
Hyundai,Creta 1.6,Hyundai Creta 1.6,38000,petrol,automatic,815000,21.45,101875,"14,835",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Rcube Monad Mall
Honda,City Vx,Honda City Vx,49000,petrol,automatic,668000,13.63,66800,"12,159",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Budget,Delhi-Ncr,09-06-2024,2024,6,2015,10,Rcube Monad Mall
Hyundai,Elite I20,Hyundai Elite I20,66000,petrol,manual,597000,9.05,85286,"10,866",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2018,7,Taj Vivanta
